x,y,time,spatial_ref,volumetric_soil_water_layer_3,wp_list_100cm,fc_list_100cm
58.450008392333984,36.150001525878906,2022-02-02,0,172.33978271484375,15.095,25.446
58.450008392333984,36.04999923706055,2022-01-31,0,114.9609375,13.845,23.152
58.450008392333984,36.04999923706055,2022-02-01,0,114.95315551757812,13.845,23.152
58.450008392333984,36.04999923706055,2022-02-02,0,114.949951171875,13.845,23.152
58.450008392333984,35.95000076293945,2022-01-31,0,125.0042724609375,19.263,30.581
58.450008392333984,35.95000076293945,2022-02-01,0,125.013427734375,19.263,30.581
58.450008392333984,35.95000076293945,2022-02-02,0,125.01617431640625,19.263,30.581
58.450008392333984,35.849998474121094,2022-01-31,0,136.27761840820312,14.516,25.13
58.450008392333984,35.849998474121094,2022-02-01,0,136.30096435546875,14.516,25.13
58.450008392333984,35.849998474121094,2022-02-02,0,136.32568359375,14.516,25.13
